Product Name,Price,Country
"Lithium Brine Extraction",0.85,"Chile"
"Lithium Carbonate (Li₂CO₃)",5.00,"Chile / USA / China"
"Lithium-Ion Battery",50.00,"China / South Korea"
"Load Balancer",80000.00,"Global"
"Load Balancer Software",25000.00,"United States"
"Logic Board (Motherboard)",120.00,"Taiwan / China"
"Longwall Mining",45.00,"Australia"
"M.2 Connector",0.50,"Taiwan"
"M3 Chip",300.00,"Taiwan"
"Mac Computer",2000.00,"United States"
"Machine Base",45.00,"Global"
"Machine Controller",45.00,"Global"
"Machine Vision System",8.00,"United States"
"macOS Software",26.00,"United States"
"Magnesium Metal",4.50,"Global"
"Magnet Wire",8.00,"Global"
"Magnetite Catalyst",4.50,"Global"
"Magnetizer",8.00,"Global"
"Magnetometer Sensor",1.00,"Japan"
"Magnetron Sources",8.00,"Global"
"MagSafe Connector",12.00,"United States"
"Manganese Sulfate",8.00,"Global"
"Manufacturing Overhead",10.00,"China"
"Manufacturing Workforce",4.00,"Taiwan"
"Marine Survey",10000000.00,"France"
"Mask Inspection",8.00,"Global"
"Mask Stage",8.00,"Global"
"Mass Flow Controllers",8.00,"Global"
"Mass Spectrometer Magnet",8.00,"Global"
"Mass Transfer",35.00,"Global"
"Material Characterization",35.00,"Global"
"Measurement Training",0.00,"Global"
"Measuring Scales",8.00,"Global"
"Membrane Cell",35.00,"Global"
"MEMS Accelerometer",1.20,"Switzerland"
"MEMS Assembly Labor",2.00,"Italy"
"MEMS Gyroscope",1.50,"Germany"
"MEMS Microphone",2.00,"USA / China"
"Mems Package",35.00,"Global"
"Mems Process",35.00,"Global"
"Mesh Conveyor",8.00,"Global"
"Mesh Grille",8.00,"Global"
"Metal Brackets",1.80,"China / Taiwan / USA"
"Metal Chassis",120.00,"China"
"Metal Electrodes",8.00,"Global"
"Metal Fasteners",0.12,"Switzerland / Japan / USA"
"Metal Gate",8.00,"Global"
"Metal Hinges",8.50,"South Korea / Taiwan"
"Metal Interconnect Layers",10.00,"Various"
"Metal Ore",4.50,"Global"
"Metal Polishing Compound",0.08,"United States"
"Metal Shell",4.50,"Global"
"Metal Stamping Press",2.50,"Germany"
"Metallurgical Coke",4.50,"Global"
"Metalworking Coolant",0.05,"United States"
"Metrology Software",8.00,"Global"
"Metrology Tools",7.00,"USA"
"Micro Drill",2.50,"Taiwan"
"Micro-Coaxial Connector",0.60,"Japan"
"Microcontroller",8.00,"Global"
"Microled Dies",2.50,"Taiwan"
"MicroLED Display",150.00,"United States"
"Microstructure Tooling",2.50,"Taiwan"
"Mim Capacitors",8.00,"Global"
"Mineral Ore",35.00,"Global"
"Mineral Processing",35.00,"Global"
"Miners",8.00,"Global"
"Mini Led Chips",2.50,"Taiwan"
"Mini-LED Backlight",35.00,"Taiwan"
"Miniature Ball Bearings",1.50,"Japan"
"Mining Excavation Machinery",2500000.00,"USA/Japan"
"Mining Explosives",0.85,"Australia"
"Mining Haul Truck",425.00,"United States"
"Mining Haul Trucks",4500000.00,"USA/Japan"
"Mining Labor",0.50,"Various"
"Mining Lease",15.00,"Global"
"Mining Operations Support",22.00,"Global"
"Mining Trucks",15.00,"Global"
"Mixed Signal Process",0.00,"Global"
"MLCC Capacitors",0.02,"Japan"
"Mo Si Mirrors",8.00,"Global"
"Moisture Trap",8.00,"Global"
"Mold Release",35.00,"Global"
"Mold Tooling",8.00,"Global"
"Molding Control",8.00,"Global"
"Molding Machine",45.00,"Global"
"Monitoring Infrastructure",60000.00,"Global"
"Monitoring Software",15000.00,"United States"
"Mosfet Switches",8.00,"Global"
"Motion Control",8.00,"Global"
"Motor Assembly",3.00,"Japan"
"Motor Driver",35.00,"Global"
"Motor Permanent Magnets",2.00,"Japan"
"Mounting Hardware",8.00,"Global"
"Multilayer PCB",25.00,"United States"
"Nafion Membrane",35.00,"Global"
"NAND Flash",25.00,"Japan"
"NAND Flash Memory",4.00,"South Korea"
"Nand Interface",8.00,"Global"
"Natural Gas",0.12,"Russia / USA / Netherlands"
"Natural Gas Compressor Station",12000000.00,"Germany/USA"
"Natural Gas Pipeline",50000000.00,"Canada/USA"
"Natural Graphite",8.00,"Global"
"Natural Uranium Ore",120.00,"Canada/Kazakhstan"
"Nbr Rubber",8.00,"Global"
"Neodymium Magnet",8.00,"Japan"
"Neodymium Magnets",35.00,"Global"
"Neodymium Oxide",8.00,"Global"
"Network ASIC",500.00,"United States"
"Network Diagnostic Tools",8000.00,"USA"
"Network Engineers",150000.00,"Global"
"Network Equipment",50000.00,"United States"
"Network Infrastructure",500000.00,"USA"
"Network Interface Card",45.00,"USA"
"Network Interface Card",450.00,"Israel"
"Network Router",15000.00,"United States, China"
"Network Switch",5000.00,"United States"
"Network Switches",12000.00,"United States"
"Network Transceiver",150.00,"United States"
"Networking Equipment",120000.00,"Global"
"Networking Lab Setup",12000.00,"USA"
"Nfc Coil",35.00,"Global"
"NFC Controller Chip",3.00,"Netherlands"
"Nginx Servers",150.00,"Global"
"Nickel Catalyst",4.50,"Global"
"Nickel Metal",18.00,"Brazil / Russia / Switzerland"
"Nickel Paste",8.00,"Global"
"Nickel Sulfate",8.00,"Global"
"Nitric Acid (HNO₃)",1.50,"Norway / USA / Australia"
"Nitrogen Gas (N₂)",0.15,"USA / Germany / France"
"Nitrogen Generator",8.00,"Global"
"Node.js Runtime",0.00,"USA"
"Node.js Runtime",0.00,"United States"
"Novolac Resin",8.00,"Global"
"npm Dependencies",0.00,"United States"
"NPM Package Registry",0.00,"USA"
"NVIDIA GPU",25000.00,"United States"
"NVIDIA GPUs",30000.00,"United States"
"NVMe Storage",600.00,"South Korea"
"Nylon Braiding",0.30,"China"
"Nylon Film",4.00,"Global"
"Occupational Health",8.00,"Global"
"Office Building",8.00,"Global"
"Offshore Oil Platform",800000000.00,"USA/France"
"Oil and Gas Drilling Operations",15000000.00,"USA/France"
"Oil Gas Separator",35.00,"Global"
"OLED Organic Materials",50.00,"United States"
"Online Education Platforms",2000.00,"USA"
"Online Learning Resources",0.00,"USA"
"Open Pit Mining Operations",12.00,"Global"
"Open Source Contributors",45.00,"Global"
"Open Source Software",0.00,"Various"
"Open Source Software Communities",0.00,"USA"
"OpenSSL Library",0.00,"Global"
"Operating System Software",0.00,"Global"
"Optical Coatings",2.50,"Taiwan"
"Optical Ellipsometry",8.00,"Global"
"Optical Enhancement Films",15.00,"United States"
"Optical Fiber",0.10,"United States"
"Optical Fiber Furnace",2000000.00,"Finland"
"Optical Testing Training",8.00,"Global"
"Optical Transceiver Module",350.00,"USA"
"Ore Crusher",8.00,"Global"
"Ore Processing",35.00,"Global"
"Ore Washing and Processing Plant",5000000.00,"USA/Ireland"
"Organic Feedstock",8.00,"Global"
"Organic Package Substrate",2.00,"Japan / Taiwan / Austria"
"Organic Pigments",8.00,"Global"
"Organic Solvent",2.50,"Taiwan"
"Organic Synthesis",2.50,"Taiwan"
"Oscillator Ic",8.00,"Global"
"Oscilloscope",8.00,"Global"
"OTDR Tester",15000.00,"Canada"
"Overcoat Layer",8.00,"Global"
"Overhead Transport",8.00,"Global"
"Oxidation Furnace",8.00,"Japan"
"Oxygen Delivery",8.00,"Global"
"Oxygen Gas (O₂)",0.30,"USA / Germany / France"
"Oxygen Removal Catalyst",4.50,"Global"
"Pac Chemical",8.00,"Global"
"Packaging Materials",15.00,"UK / USA / Ireland"
"Packaging Tape",4.00,"Global"
"Packed Column",35.00,"Global"
"Packed Tower",35.00,"Global"
"Palladium Metal",4.50,"Global"
"Paper Pulp",800.00,"United States"
"Particle Counter",8.00,"Global"
"Pass Box",8.00,"Global"
"Passivation Process",2.00,"United States"
"Patch Panel",250.00,"United States"
"Payment Gateway Service",0.03,"USA"
"Pcb Antenna",35.00,"Global"
"PCB Assembly",50.00,"United States"
"PCB Board",35.00,"United States"
"PCB Board Connectors",0.50,"United States"
"PCB Board Tester",8.00,"United States"
"Pcb Conveyors",8.00,"Global"
"Pcb Drilling",8.00,"Global"
"PCB FR-4 Substrate",4.00,"United States"
"Pcb Mounting",35.00,"Global"
"Pcie Interface",8.00,"Global"
"Pcl3 Chemical",8.00,"Global"
"PD Controller",2.80,"United States"
"Pentlandite Ore (Nickel Sulfide)",0.55,"Russia"
"Perlite Insulation",8.00,"Global"
"Pet Film",35.00,"Global"
"Pet Resin",8.00,"Global"
"Pgmea Solvent",6.00,"Global"
"Ph Adjusters",8.00,"Global"
"Ph3 Gas",15.00,"Global"
"Phase Transfer Catalyst",8.00,"Global"
"PhD Programs",250000.00,"United States"
"Phenolic Resin",8.00,"Global"
"Phosphate Rock",0.40,"Morocco / USA / Canada"
"Phosphate Rock",0.10,"Morocco / USA / Russia"
"Phosphor Bronze Alloy",6.00,"United States"
"Phosphoric Acid (H₃PO₄)",1.50,"USA / Morocco / Russia"
"Phosphorus Dopant",1.00,"USA"
"Photodiode",35.00,"Global"
"Photolithography Equipment",45.00,"Global"
"Photomask Blank",35.00,"Global"
"Photomask Set",8.00,"Global"
"Photomask Set",80.00,"USA / Japan"
"Photoresist Chemicals",8.00,"Japan / USA"
"Photoresist Developer",0.05,"Japan"
"Pick Place Head",8.00,"Global"
"Pick Place Machine",45.00,"Global"
"Pigment",35.00,"Global"
"Pipeline Network",150.00,"Global"
"Placer Deposits",15.00,"Global"
"Planetary Mixer",25.00,"United States"
"Plasma Etching Machine",12.00,"USA / Japan"
"Plasma Ion Source",8.00,"Global"
"Plastic Fan Impeller",0.50,"Taiwan"
"Plastic Packaging",0.15,"United States"
"Plastic Speaker Frame",0.60,"China"
"Plastic Tanks",2.50,"Taiwan"
"Plate Fin Exchanger",8.00,"Global"
"Plating Chemistry",35.00,"Global"
"Platinum Catalyst",4.50,"Global"
"Pogo Pins",35.00,"Global"
"Polarizer Film",8.00,"Japan"
"Polishing Additives",8.00,"Global"
"Polishing Head",8.00,"Global"
"Polishing Slurry",2.00,"USA / Japan"
"Polishing Wheels",8.00,"Global"
"Polycarbonate",8.00,"Global"
"Polycarbonate Resin",8.00,"Global"
"Polyester PET Film",3.00,"Japan"
"Polyethylene",1.20,"United States"
"Polyimide Film",4.00,"Global"
"Polymer Additives",8.00,"Global"
"Polymer Capacitors",8.00,"Global"
"Polymer Resin",35.00,"Global"
"Polymerization Catalyst",8.00,"Global"
"Polymerization Initiator",8.00,"Global"
"Polypropylene",1.30,"Netherlands"
"Polypropylene Resin",8.00,"Global"
"Polypropylene Tank",8.00,"Global"
"Polyurethane Chemical System",5.00,"Germany"
"Polyurethane Pads",8.00,"Global"
"Power Inductors",8.00,"Global"
"Power Management IC",3.00,"United States"
"Power Management IC",4.50,"United Kingdom"
"Power Mosfets",8.00,"Global"
"Power Plant",0.80,"Various"
"Power Transformer",5000000.00,"Switzerland"
"Power Transistors",8.00,"Global"
"Pp Film",4.00,"Global"
"Ppe Equipment",45.00,"Global"
"Precision Assembly Technicians",2.00,"China"
"Precision Machining Services",15000.00,"Japan/Germany"
"Precision Measurement Tools",3.00,"Japan"
"Precision Mold",8.00,"Global"
"Precision Pump",8.00,"Global"
"Precision Spindle",8.00,"Global"
"Precision Stage",8.00,"Global"
"Prepreg",8.00,"Global"
"Press Brake",8.00,"Global"
"Press Control",8.00,"Global"
"Press Frame",8.00,"Global"
"Pressure Acid Leach",35.00,"Global"
"Pressure Swing Adsorption",35.00,"Global"
"Printed Circuit Board",8.00,"Taiwan"
"Printed Manual",0.50,"United States"
"Printing Ink",12.00,"United States"
"Process Engineers",0.00,"Global"
"Process Steam",0.00,"Global"
"Process Utilities",0.00,"Global"
"Process Water",0.00,"Global"
"Product Labels",8.00,"Global"
"Product Labels and Stickers",0.10,"USA / Finland / Canada"
"Production Line Equipment",50.00,"United States"
"Production Test Jig",4.00,"United States"
"Professional Network Certifications",15000.00,"USA"
"Programmable Power Supply",5.00,"United States"
"Programming Language Design",0.00,"Global"
"Programming Language Ecosystem",0.00,"Global"
"Programming Software Suite",5.00,"United States"
"Propylene Gas",35.00,"Global"
"Protective Coating",8.00,"Global"
"Protective Film",4.00,"Global"
"Protective Layers",8.00,"Global"
"Protective Pellicle",8.00,"Global"
"Proximity Sensor",8.00,"Global"
"PSU Module",200.00,"Taiwan"
"PSU Unit",80.00,"Taiwan"
"PTFE Polymer",8.00,"United States"
"Purified Silicon",15.00,"Germany / United States"
"Pva Film",4.00,"Global"
"Pvc Additives",8.00,"Global"
"Pvc Piping",8.00,"Global"
"PVC Polymer",0.90,"Taiwan"
"Pvd Coating",8.00,"Global"
"Pwm Controller",8.00,"Global"
"Pyrometallurgical Refining",35.00,"Global"
"Python Language",0.00,"United States"
"PyTorch Framework",0.00,"United States"
"Qa Infrastructure",150.00,"Global"
"Qd Encapsulation",35.00,"Global"
"Qd Synthesis",35.00,"Global"
"Quality Equipment",45.00,"Global"
"Quality Inspection Service",4.00,"United States"
"Quality Inspection Staff",2.50,"China"
"Quantum Dot Enhancement Film",20.00,"United States"
"Quartz Boat",8.00,"Global"
"Quartz Chamber",8.00,"Global"
"Quartz Crucible",8.00,"Global"
"Quartz Crystal Blank",8.00,"Global"
"Quartz Crystal Oscillator",0.30,"Japan"
"Quartz Mining",15.00,"Global"
"Quartzite Sand",1.00,"Various"
"Quenching Medium",8.00,"Global"
"Rack Servers",8500.00,"United States"
"RAID Controller",600.00,"United States"
"Raised Flooring",8.00,"Global"
"Rare Earth Elements",20.00,"China / Australia / USA"
"Raw Materials (Generic)",0.25,"Global"
"Reactor Vessel",35.00,"Global"
"Real-Time Clock Module",0.50,"United States"
"Reduction Furnace",450.00,"Global"
"Reflector Sheet",8.00,"Global"
"Reflector Sheets",35.00,"Global"
"Reflow Oven",2.50,"United States"
"Reflow Soldering Oven",60.00,"United States"
"Reformer Furnace",450.00,"Global"
"Refractory Lining",35.00,"Global"
"Refrigeration",35.00,"Global"
"Release Agent",8.00,"Global"
"Research Development",25.00,"United States"
"Resin Treatment",8.00,"Global"
"Resistive Film",4.00,"Global"
"Resistive Heaters",8.00,"Global"
"Reverberatory Furnace",450.00,"Global"
"RF Cable",15.00,"United States"
"RF Circuit Board",2.00,"United States"
"Rf Frontend",35.00,"Global"
"Rf Generator",8.00,"Global"
"RF Passive Components",0.80,"Japan"
"RF Shield Can",0.20,"United States"
"RF Testing Equipment",50.00,"United States"
"RF Tuner",5.00,"United States"
"RGB Color Filter Array",25.00,"Japan"
"Rheology Modifiers",8.00,"Global"
"Ro Membrane",8.00,"Global"
"Robotic Arm",8.00,"Global"
"Rolled Copper",8.00,"Global"
"Rolling Mill",8.00,"Global"
"Rolling Oil",8.00,"Global"
"Room and Pillar Mining",18.00,"Global"
"Rotary Die",4500.00,"United States"
"Rotary Dryer",35.00,"Global"
"Rotary Kiln",450.00,"Global"
"Rotating Platen",8.00,"Global"
"Router Operating System",15000.00,"USA"
"Router Software",5000.00,"United States"
"Rtc Ic",2.50,"Taiwan"
"Rubber Feet",0.35,"USA / Japan / Taiwan"
"Rubber Toughening Modifier",8.00,"Japan"
"Ruby on Rails",0.00,"United States"
"Ruby Programming Language",0.00,"Japan"
"Rutile Ore (Titanium Dioxide)",0.95,"Australia"
"Safety Certification",8.00,"Global"
"Safety Equipment",45.00,"Global"
"Safety Training",0.00,"Global"
"Salt (Sodium Chloride)",0.05,"USA / Germany / USA"
"Salt Ponds",35.00,"Global"
"Sand Filter",8.00,"Global"
"Sand Washing",35.00,"Global"
"Sapphire Cover",35.00,"Global"
"Scanning Electron Microscope",8.00,"Global"
"Scheelite Ore",8.00,"Global"
"Screening Equipment",75.00,"Germany"
"Secure Element",35.00,"Global"
"Secure Enclave Processor",5.00,"United States"
"Secure Rom",35.00,"Global"
"Security Infrastructure",0.00,"United States"
"Security Monitoring Tools",25000.00,"United States"
"Security Software",20000.00,"United States"
"Semiconductor Fab Equipment",500.00,"United States"
"Semiconductor Labor (Fab Workers)",40.00,"Taiwan / South Korea / USA"
"Sensor Asic",2.50,"Taiwan"
"Sensor Package",2.50,"Taiwan"
"Separation Plant",35.00,"Global"
"Serdes Circuits",8.00,"Global"
"Server Chassis",400.00,"Taiwan"
"Server Computer",5000.00,"United States"
"Server CPU",2500.00,"United States"
"Server Hardware",500.00,"United States"
"Server Motherboard",800.00,"United States"
"Server Power Supply Unit",180.00,"Taiwan"
"Server PSU",350.00,"Taiwan"
"Server Rack",2500.00,"Germany"
"Server Rack Infrastructure",2500.00,"USA"
"SFP Transceiver",60.00,"United States"
"Shaking Table",35.00,"Global"
"Siemens Reactor",35.00,"Global"
"Signal Generator",8.00,"Global"
"Signal Integrity Tester",25.00,"United States"
"Silica Filler",5.00,"Germany"
"Silica Glass Preform",5000.00,"United States"
"Silica Sand",8.00,"Global"
"Silica Sand (SiO₂)",0.04,"USA / Belgium / Germany"
"Silicon Metal",2.50,"Norway"
"Silicon Seed",2.50,"Taiwan"
"Silicon Seed Crystal",8.00,"Global"
"Silicon Wafer",50.00,"Japan"
"Silicone Elastomer",6.00,"United States"
"Silicone Oil",4.00,"Japan"
"Silicone Release Liner",1.00,"United States"
"Silicone-Coated Paper",1.50,"South Africa"
"Silver Flake",35.00,"Global"
"Silver Metal",700.00,"Mexico / Poland / Canada / USA"
"Silver Nitrate",850.00,"USA / Germany / China"
"Silver Powder",25.00,"United States"
"Single Crystal Silicon Ingot",30.00,"Japan / Taiwan"
"Sintering Furnace",80.00,"Global"
"Sintering Process",0.00,"Global"
"Site Work",30000.00,"United States"
"Skilled Labor",45.00,"Global"
"Slot-Die Coating Equipment",5.00,"Japan"
"Slurry Chemicals",8.00,"Global"
"Slurry Filtration",8.00,"Global"
"Slurry System",45.00,"Global"
"SMD Inductors",0.08,"Japan"
"SMD Resistors",0.01,"Taiwan"
"SMT Assembly Line",15.00,"China"
"SMT Assembly Service",5.00,"United States"
"SMT Component Placement",3.00,"Canada"
"SMT Placement Equipment",200.00,"Singapore"
"Soda Ash",8.00,"Global"
"Sodium Carbonate",35.00,"Global"
"Software Developers",120000.00,"Global"
"Software Development Projects",0.00,"Global"
"Software Development Tools",5000.00,"USA/Czech Republic"
"Software Engineer Education",0.00,"Global"
"Software Engineering",25.00,"United States"
"Software Licensing",3.00,"United States"
"Solar Evaporation",35.00,"Global"
"Solder Flux",35.00,"Global"
"Solder Mask",8.00,"Global"
"Solder Paste",0.08,"Japan"
"Solder Paste Printer",8.00,"Global"
"Solvent Purification",8.00,"Global"
"Solvent Reclamation System",30.00,"Switzerland"
"Spark Tester",8.00,"Global"
"Speaker Assembly Adhesive",0.04,"Germany"
"Speaker Assembly Technicians",0.80,"China"
"Speaker Dust Cap",0.25,"United States"
"Speaker Housing Enclosure",2.50,"China"
"Speaker Paper Cone",0.50,"Japan"
"Speaker Rubber Surround",0.40,"United States"
"Speaker Solder Terminals",0.08,"United States"
"Speaker Spider Damper",0.35,"United States"
"Speaker Voice Coil",1.50,"Japan"
"Speakers (Laptop Audio)",15.00,"China / USA"
"Specialty Steel Alloys",2500.00,"Luxembourg/USA"
"Spectrometer",35.00,"Global"
"Sphalerite Mining",15.00,"Global"
"Spheroidization",8.00,"Global"
"Spider Die",8.00,"Global"
"Spindle Motors",8.00,"Global"
"Spindle System",45.00,"Global"
"Spot Welder",8.00,"Global"
"Spray Dryer",35.00,"Global"
"Spring System",120.00,"Global"
"Sputter Coating System",15.00,"United States"
"Sputtering Targets",8.00,"Global"
"SSD Controller Chip",12.00,"South Korea"
"SSD Controller IC",6.00,"South Korea"
"SSD Firmware",5.00,"South Korea"
"SSD Storage Drive",89.00,"South Korea/USA"
"SSD Storage Drive",80.00,"South Korea / USA"
"SSD Test System",60.00,"Japan"
"SSL Certificate",300.00,"United States"
"SSL/TLS Cryptographic Libraries",0.00,"USA"
"Stainless Steel Battery Can",0.80,"Japan"
"Stainless Steel Body",8.00,"Global"
"Stainless Steel Chamber",8.00,"Global"
"Stainless Steel Coil",8.00,"Global"
"Stainless Steel EMI Shield",0.25,"United States"
"Stainless Steel Precision Strip",5.00,"United States"
"Stainless Steel Sheet",4.50,"France"
"Stainless Steel Wire",5.00,"Sweden"
"Stamping Die",8.00,"Global"
"Standard Cell Libraries",5.00,"UK / USA / Taiwan"
"Standards Calibration",8.00,"Global"
"Starch-Based Adhesive",0.80,"United States"
"Starter Rods",35.00,"Global"
"Steam Turbine",50000000.00,"United States"
"Steam Turbine Generator",45000000.00,"USA/Germany"
"Steel Die",35.00,"Global"
"Steel EMI Shield Can",0.30,"United States"
"Steel Frame",8.00,"Global"
"Steel Raw",35.00,"Global"
"Steel Shaft",8.00,"Global"
"Steel Sheet",8.00,"Global"
"Steel Tower",150000.00,"United States"
"Steel Vessel",35.00,"Global"
"Steel Wire",5.00,"Belgium"
"Storage Array",50000.00,"United States"
"Strain Gauge Sensor",1.00,"United States"
"Strain Gauges",35.00,"Global"
"Strip Mining (Surface Coal)",8.50,"United States"
"Stripping Blades",8.00,"Global"
"Structural Epoxy Adhesive",5.00,"Germany / USA"
"Structural Steel Fabrication",4500.00,"USA"
"Styrene Monomer",8.00,"Global"
"Sublimation Purification",2.50,"Taiwan"
"Submarine Cable",350000000.00,"United States, France, Japan"
"Submarine Repeater",500000.00,"United States"
"Submersible Pump",35.00,"Global"
"Substrate Handling",4.00,"Global"
"Sulfur Polishing",35.00,"Global"
"Sulfuric Acid",0.30,"USA / Canada"
"Sulfuric Acid Plant",8.00,"Global"
"Surface Finishing",8.00,"Global"
"Surface Profiler",8.00,"Global"
"Surfactant",35.00,"Global"
"Surfactants",8.00,"Global"
"Suspended Ceiling",8.00,"Global"
"Suspension Stabilizer",8.00,"Global"
"Switch Chassis",800.00,"United States"
"Switch Software",3000.00,"United States"
"Switching ASIC",200.00,"United States"
"Sx Cobalt",35.00,"Global"
"Synthetic Fibers",8.00,"Global"
"Synthetic Graphite",8.00,"Global"
"Synthetic Quartz",8.00,"Global"
"Synthetic Rubber Production",3.50,"Japan"
"Tac Film",4.00,"Global"
"Tap Water",8.00,"Global"
"Tape Coating Line",150.00,"Italy"
"Tape Converting Labor",2.00,"United States"
"Tdr Module",8.00,"Global"
"Technical Conferences and Events",5000.00,"Global"
"Technical Documentation",5000.00,"Global"
"Technical Standards Organizations",0.00,"Global"
"Technical Training Programs",8000.00,"USA"
"Teflon Coating",35.00,"Global"
"Temperature Control",8.00,"Global"
"Temperature Controller",8.00,"Global"
"Temperature Controllers",8.00,"Global"
"Termination Electrodes",8.00,"Global"
"Termination Paste",8.00,"Global"
"Test Automation Software",10.00,"United States"
"Test Fixture",5.00,"United States"
"Test Fixtures",8.00,"Global"
"Test Handlers",8.00,"Global"
"Test Software",8.00,"Global"
"Testing Equipment",10.00,"USA / Japan"
"Text Datasets",0.00,"United States"
"Text Editor Software",0.00,"Global"
"TFT Backplane",45.00,"South Korea"
"Tft Lithography",8.00,"Global"
"Thermal Annealer",2.50,"United States"
"Thermal Interface Paste",0.05,"Japan"
"Thermal Test Equipment",35.00,"United States"
"Thermoforming",8.00,"Global"
"Thermoplastic Component Molding",1.80,"United States"
"Thermoplastic Elastomer",4.50,"United States"
"Thermoplastic Polyurethane",5.50,"Germany"
"Thermoplastic Resin",3.00,"Saudi Arabia"
"Thickness Gauge",8.00,"Global"
"Thickness Measurement",8.00,"Global"
"Thin Film Resistors",4.00,"Global"
"This Website",0.00,"United States"
"Thread Rolling Machine",85.00,"United States"
"Thunderbolt Controller Chip",8.00,"United States"
"Time Series Database",8000.00,"United States"
"Tin Metal",25.00,"China / Malaysia / Indonesia"
"Tin Plating",8.00,"Global"
"Tin Powder",8.00,"Global"
"Titanium Drum",8.00,"Global"
"Titanium Getter",35.00,"Global"
"Titanium Metal",25000.00,"Russia"
"Tmah Base",8.00,"Global"
"Toluene Solvent",6.00,"Global"
"Tool Changer",8.00,"Global"
"Tool Grinding",8.00,"Global"
"Touch Controller IC",5.00,"United States"
"Touch Controller IC",2.50,"United States"
"Trackpad (Force Touch)",25.00,"USA / Taiwan"
"Trackpad Glass",35.00,"Global"
"Training Cluster",0.00,"United States"
"Training Equipment",120.00,"Global"
"Training Materials",45.00,"Global"
"Transformer Insulating Oil",2.50,"Netherlands/USA"
"Translation Services",0.25,"Various"
"Transmission Line Construction",2500000.00,"USA"
"Transmission Lines",0.30,"Various"
"Transmission Tower Structures",45000.00,"India/USA"
"True Rng",35.00,"Global"
"Tube Furnace",80.00,"Global"
"Tungsten Carbide Powder",8.00,"Global"
"Tungsten Mass",35.00,"Global"
"Tungsten Metal",2.00,"China / Germany"
"Tungsten Reduction",8.00,"Global"
"Turbomolecular Pump",8.00,"Global"
"Twin Screw Extruder",35.00,"Global"
"Two-Part Dispensing System",12.00,"United States"
"Type Theory and Type Systems",0.00,"Global"
"TypeScript Language",0.00,"United States"
"U.FL RF Connector",0.40,"Japan"
"Uf Membrane",8.00,"Global"
"Uhmwpe Resin",8.00,"Global"
"Ultra High Vacuum",8.00,"Global"
"Ultra-Pure Water (UPW)",5.00,"Various"
"Ultrapure Water",8.00,"Global"
"Ultrasonic Transducer",8.00,"Global"
"Ultrasonic Welding",8.00,"Global"
"Underground Mining Operations",28.00,"Global"
"University Degree Programs",80000.00,"Global"
"University Education",50000.00,"United States"
"UPS Systems",85000.00,"United States"
"Uranium Ore",0.08,"Kazakhstan"
"USB Compliance Testing",15000.00,"United States"
"USB PD Controller",1.50,"United States"
"USB-C Cable",15.00,"China / Taiwan / USA"
"USB-C Connector",0.85,"Taiwan"
"USB-C Port Connector",2.50,"Japan"
"USB-C Ports",8.00,"Japan / USA"
"USB-C Power Adapter",25.00,"Singapore"
"Utility Workers",0.10,"Various"
"UV Curable Acrylate",45.00,"Netherlands"
"UV Curable Ink",25.00,"Germany"
"Uv Lamp",8.00,"Global"
"Uv Light Source",8.00,"Global"
"V8 JavaScript Engine",0.00,"USA"
"Vacuum Chamber",8.00,"Global"
"Vacuum Chuck",8.00,"Global"
"Vacuum Drying Oven",3.50,"United States"
"Vacuum Evaporator",35.00,"Global"
"Vacuum Laminator",35.00,"Global"
"Vacuum Package",35.00,"Global"
"Vacuum Pan",35.00,"Global"
"Vacuum Pump",15.00,"United Kingdom"
"Vacuum Pumps",8.00,"Global"
"Vacuum Robot",8.00,"Global"
"Vacuum System",120.00,"Global"
"Vanadium Catalyst",8.00,"Global"
"Vapor Barrier",8.00,"Global"
"Vector Network Analyzer",45.00,"United States"
"Verification Algorithms",2.50,"Taiwan"
"Verification Software and Simulation Tools",15.00,"USA"
"Vibrating Screen",95.00,"United States"
"Vibrating Screens",35.00,"Global"
"Vibratory Feeder",8.00,"Global"
"Vinyl Chloride",8.00,"Global"
"Vinyl Film",3.50,"United States"
"Vision Alignment",8.00,"Global"
"Vision Inspection",45000.00,"United States"
"Vna",8.00,"Global"
"Vocational Training",0.00,"Global"
"Voice Coil Motor Actuator",1.20,"Japan"
"Voltage Regulator Module",4.00,"Germany"
"Vulcanizing Agent",8.00,"Global"
"Wafer Carriers",8.00,"Global"
"Wafer Cassettes",8.00,"Global"
"Wafer Etchant",8.00,"Global"
"Wafer Inspection System",6.00,"USA / Japan"
"Wafer Probe Card",8.00,"Global"
"Wafer Transfer Robots",8.00,"Global"
"Wafer Workers",0.00,"Global"
"Washing Equipment",120.00,"Global"
"Water Pump",8.00,"Global"
"Water Source (Industrial)",0.00,"Global"
"Water Supply",8.00,"Global"
"Web Browser Software",0.00,"USA"
"Web Content",0.00,"United States"
"Web Handling",8.00,"Global"
"Web Server Software",0.00,"Global"
"Welding Equipment",45.00,"Global"
"Wellhead Equipment",120.00,"Global"
"Wheel Loader",195.00,"Sweden"
"White Led Chips",8.00,"Global"
"White Leds",35.00,"Global"
"WHOIS Database Service",5.00,"Global"
"Wi-Fi/Bluetooth Card",15.00,"USA"
"Wifi Chipset",2.50,"Taiwan"
"WiFi Module Assembly",12.00,"Japan"
"Winding Machine",45.00,"Global"
